,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banda aceh,95.3222,95.3222,79.9,73,100,11.1,ID,1618861850
1,banda aceh,-134.9692,-134.9692,77.85,72,0,10.02,PF,1618861851
2,banda aceh,-0.3333,-0.3333,57.2,44,0,3.44,FR,1618861851
3,banda aceh,-39.2481,-39.2481,79.41,80,21,9.84,BR,1618861851
4,banda aceh,-155.09,-155.09,78.8,65,90,6.91,US,1618861617
5,banda aceh,49.0916,49.0916,27.3,84,8,2.42,RU,1618861852
6,banda aceh,-159.319,-159.319,80.01,65,1,5.75,US,1618861852
7,banda aceh,168.8643,168.8643,51.01,79,0,5.99,NZ,1618861853
8,banda aceh,-151.75,-151.75,82.44,70,9,13.6,PF,1618861853
9,banda aceh,-73.9662,-73.9662,59.0,47,100,4.63,US,1618861603
10,banda aceh,-171.0,-171.0,26.67,85,5,6.13,RU,1618861854
11,banda aceh,93.45,93.45,63.54,17,100,6.53,CN,1618861756
12,banda aceh,-65.7125,-65.7125,17.6,86,90,4.61,CA,1618861854
13,banda aceh,-61.3003,-61.3003,80.6,89,20,2.3,BR,1618861855
14,banda aceh,-51.1308,-51.1308,85.89,35,48,10.09,BR,1618861855
15,banda aceh,-68.3,-68.3,44.6,87,75,4.61,AR,1618861781
16,banda aceh,-70.0311,-70.0311,78.8,88,40,4.61,BR,1618861856
17,banda aceh,-70.9167,-70.9167,53.6,58,20,18.41,CL,1618861647
18,banda aceh,-105.2,-105.2,78.8,69,40,11.5,MX,1618861856
19,banda aceh,15.6401,15.6401,33.8,75,40,10.36,SJ,1618861857
20,banda aceh,102.5,102.5,-19.26,100,26,2.68,RU,1618861857
21,banda aceh,125.4092,125.4092,56.97,85,70,1.28,TL,1618861857
22,banda aceh,-90.3518,-90.3518,80.6,74,40,18.41,EC,1618861858
23,banda aceh,54.9763,54.9763,61.47,42,34,4.72,IR,1618861858
24,banda aceh,-9.4469,-9.4469,63.0,82,40,8.05,PT,1618861859
25,banda aceh,-156.7887,-156.7887,24.8,80,90,19.57,US,1618861762
26,banda aceh,-133.0374,-133.0374,23.0,93,40,6.91,CA,1618861859
27,banda aceh,-110.8107,-110.8107,62.6,16,1,20.71,US,1618861860
28,banda aceh,-63.5986,-63.5986,50.0,76,90,12.66,CA,1618861860
29,banda aceh,-72.4167,-72.4167,61.95,79,57,9.04,CL,1618861860
30,banda aceh,100.4517,100.4517,50.18,35,78,4.32,CN,1618861861
31,banda aceh,-54.0692,-54.0692,79.25,79,100,1.95,BR,1618861861
32,banda aceh,-7.1664,-7.1664,39.2,93,20,11.5,FO,1618861862
33,banda aceh,30.7861,30.7861,42.8,42,0,6.71,RU,1618861862
34,banda aceh,-57.5575,-57.5575,75.2,53,0,14.97,AR,1618861863
35,banda aceh,-79.2353,-79.2353,61.0,35,75,10.36,US,1618861863
36,banda aceh,155.55,155.55,22.6,98,100,6.51,RU,1618861863
37,banda aceh,121.9,121.9,55.4,94,75,9.78,AU,1618861864
38,banda aceh,170.5036,170.5036,57.0,62,0,8.01,NZ,1618861854
39,banda aceh,115.3333,115.3333,54.0,98,66,7.87,AU,1618861864
40,banda aceh,86.1778,86.1778,-19.21,100,97,1.63,RU,1618861865
41,banda aceh,163.0719,163.0719,23.76,95,100,2.77,RU,1618861865
42,banda aceh,-42.0278,-42.0278,78.8,73,75,19.57,BR,1618861865
43,banda aceh,-80.9203,-80.9203,91.4,52,75,17.27,CU,1618861866
44,banda aceh,19.2345,19.2345,62.01,82,95,11.01,ZA,1618861866
45,banda aceh,147.3294,147.3294,53.01,93,75,10.36,AU,1618861659
46,banda aceh,168.3333,168.3333,51.01,79,0,5.99,NZ,1618861867
47,banda aceh,-50.0119,-50.0119,64.49,75,28,5.48,BR,1618861867
48,banda aceh,-52.7314,-52.7314,44.6,93,90,8.05,CA,1618861868
49,banda aceh,-60.4388,-60.4388,87.01,45,0,4.0,AR,1618861868
50,banda aceh,147.0587,147.0587,53.01,71,100,1.99,AU,1618861868
51,banda aceh,-131.6461,-131.6461,55.4,47,1,6.91,US,1618861869
52,banda aceh,-124.1573,-124.1573,53.01,87,90,9.22,US,1618861869
53,banda aceh,-35.4608,-35.4608,84.2,70,20,13.8,BR,1618861870
54,banda aceh,31.6667,31.6667,64.26,56,0,4.27,ZW,1618861875
55,banda aceh,120.5631,120.5631,82.17,79,100,13.78,PH,1618861876
56,banda aceh,-7.7169,-7.7169,81.73,78,100,6.11,LR,1618861876
57,banda aceh,-17.1,-17.1,63.0,66,41,1.99,PT,1618861877
58,banda aceh,-98.2167,-98.2167,81.0,51,20,4.0,MX,1618861877
59,banda aceh,-152.4072,-152.4072,42.8,87,90,13.8,US,1618861877
60,banda aceh,73.0833,73.0833,82.8,64,66,4.38,MV,1618861878
61,banda aceh,-25.4333,-25.4333,62.6,88,20,5.75,PT,1618861878
62,banda aceh,117.4333,117.4333,32.47,28,9,6.71,CN,1618861644
63,banda aceh,85.9128,85.9128,16.02,91,12,3.02,RU,1618861879
64,banda aceh,88.3972,88.3972,-13.02,96,60,2.39,RU,1618861879
65,banda aceh,80.5464,80.5464,-4.31,96,16,7.99,RU,1618861880
66,banda aceh,172.7902,172.7902,83.05,75,91,13.71,KI,1618861880
67,banda aceh,152.8535,152.8535,61.0,85,0,3.0,AU,1618861880
68,banda aceh,145.4333,145.4333,73.99,94,90,2.3,AU,1618861881
69,banda aceh,102.6414,102.6414,49.15,33,64,3.65,CN,1618861881
70,banda aceh,27.8492,27.8492,42.8,52,0,8.05,NO,1618861882
71,banda aceh,-173.9833,-173.9833,78.8,73,20,8.05,TO,1618861882
72,banda aceh,-54.9167,-54.9167,75.2,57,20,10.36,UY,1618861882
73,banda aceh,167.8833,167.8833,77.7,87,73,4.54,NC,1618861883
74,banda aceh,149.2,149.2,77.0,73,90,12.66,AU,1618861883
75,banda aceh,54.0814,54.0814,38.37,63,100,17.98,KZ,1618861883
76,banda aceh,167.4833,167.4833,76.6,82,76,14.07,NC,1618861884
77,banda aceh,-70.3333,-70.3333,87.8,62,40,11.5,DO,1618861884
78,banda aceh,40.7,40.7,58.6,85,98,0.83,ET,1618861885
79,banda aceh,-126.8329,-126.8329,44.6,45,1,6.91,CA,1618861885
80,banda aceh,-114.3525,-114.3525,35.01,64,75,6.91,CA,1618861635
81,banda aceh,-109.9124,-109.9124,86.0,47,1,6.91,MX,1618861803
82,banda aceh,-69.3632,-69.3632,7.92,78,100,6.67,GL,1618861886
83,banda aceh,24.9906,24.9906,64.6,90,99,4.14,CD,1618861886
84,banda aceh,131.1683,131.1683,13.3,93,100,7.36,RU,1618861887
85,banda aceh,-159.775,-159.775,78.8,73,58,6.91,CK,1618861697
86,banda aceh,-73.4673,-73.4673,61.0,41,40,12.66,US,1618861887
87,banda aceh,127.7558,127.7558,64.4,72,20,4.61,JP,1618861888
88,banda aceh,147.9167,147.9167,13.17,88,100,10.07,RU,1618861888
89,banda aceh,97.75,97.75,63.63,56,5,1.81,MM,1618861889
90,banda aceh,-28.7,-28.7,64.4,88,40,11.5,PT,1618861889
91,banda aceh,-71.3436,-71.3436,59.0,77,75,5.75,CL,1618861666
92,banda aceh,31.1107,31.1107,41.0,48,0,18.41,NO,1618861890
93,banda aceh,-35.1478,-35.1478,79.74,79,86,7.56,BR,1618861890
94,banda aceh,161.3,161.3,20.77,82,90,7.85,RU,1618861891
95,banda aceh,156.125,156.125,37.08,94,100,14.58,RU,1618861891
96,banda aceh,-68.5364,-68.5364,87.62,31,1,8.88,AR,1618861892
97,banda aceh,95.4522,95.4522,18.82,67,77,13.96,RU,1618861892
98,banda aceh,116.8289,116.8289,76.03,88,87,6.8,ID,1618861893
99,banda aceh,-1.353,-1.353,46.4,81,100,14.97,GB,1618861893
100,banda aceh,-86.1758,-86.1758,66.0,32,1,13.8,US,1618861894
101,banda aceh,26.891,26.891,64.0,75,100,11.9,ZA,1618861642
102,banda aceh,-77.0636,-77.0636,81.34,69,27,19.86,BS,1618861894
103,banda aceh,141.5131,141.5131,29.46,90,100,9.1,RU,1618861895
104,banda aceh,-105.2842,-105.2842,33.8,55,100,12.66,CA,1618861900
105,banda aceh,-97.8558,-97.8558,26.6,54,75,12.66,CA,1618861900
106,banda aceh,-71.1419,-71.1419,78.87,81,100,16.73,TC,1618861901
107,banda aceh,-65.1023,-65.1023,84.13,28,0,19.53,AR,1618861902
108,banda aceh,-38.8828,-38.8828,82.4,65,40,16.11,BR,1618861902
109,banda aceh,136.9,136.9,54.61,67,0,22.88,JP,1618861903
110,banda aceh,119.7,119.7,28.56,46,0,6.44,CN,1618861903
111,banda aceh,-147.8028,-147.8028,46.4,49,1,0.56,US,1618861893
112,banda aceh,75.6167,75.6167,84.18,20,10,8.77,IN,1618861904
113,banda aceh,-107.9554,-107.9554,28.4,86,90,13.8,US,1618861904
114,banda aceh,-22.4338,-22.4338,35.6,75,75,21.85,IS,1618861904
115,banda aceh,78.8167,78.8167,77.09,15,4,6.76,IN,1618861905
116,banda aceh,73.0708,73.0708,82.99,65,37,3.02,MV,1618861641
117,banda aceh,-39.9167,-39.9167,79.38,81,93,6.08,BR,1618861905
118,banda aceh,-116.0542,-116.0542,84.99,5,1,3.44,US,1618861906
119,banda aceh,25.5701,25.5701,59.0,94,75,1.14,ZA,1618861906
120,banda aceh,20.0403,20.0403,57.2,94,98,18.41,ZA,1618861732
121,banda aceh,-175.2,-175.2,75.2,94,75,5.75,TO,1618861907
122,banda aceh,113.6333,113.6333,73.18,56,0,23.31,AU,1618861907
123,banda aceh,-113.5841,-113.5841,77.0,11,4,1.01,US,1618861907
124,banda aceh,138.6,138.6,53.01,82,0,5.75,AU,1618861908
125,banda aceh,150.7967,150.7967,81.01,79,99,12.44,PG,1618861908
